"study.id"	"effect.size.id"	"species"	"species.id"	"subphylum"	"phylum"	"assortment.trait"	"trait.dimensions"	"field.collection"	"publication.year"	"pooled.data"	"spatially.pooled.data"	"temporally.pooled.data"	"ri"	"ni"
"Malina et al. 1983"	888	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1983	"no"	"no"	"no"	0.35	70
"Malina et al. 1983"	889	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"arm muscle circumference"	"uni"	"yes"	1983	"no"	"no"	"no"	0.07	70
"Malina et al. 1983"	890	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"arm circumference"	"uni"	"yes"	1983	"no"	"no"	"no"	0.01	70
"Marco and Lizana 2002"	891	"Bufo bufo"	"Bufo_bufo_ott889350"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"no"	2002	"no"	"no"	"no"	0.028	28
"Marquez 1993"	892	"Alytes cisternasii"	"Alytes_cisternasii_ott385874"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	1993	"no"	"no"	"no"	0.41	31
"Marquez 1993"	893	"Alytes obstetricans"	"Alytes_obstetricans_obstetricans_ott233453"	"Amphibia"	"Chordata"	"snout-vent length"	"uni"	"yes"	1993	"no"	"no"	"no"	0.22	13
"Martin 2013"	894	"Tilapia"	"Tilapia_pra_ott3635733"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	2013	"no"	"no"	"no"	0.77	27
"Martin 2013"	895	"Tilapia"	"Tilapia_pra_ott3635733"	"Teleostei"	"Chordata"	"head depth"	"uni"	"yes"	2013	"no"	"no"	"no"	0.64	27
"Martin 2013"	896	"Tilapia"	"Tilapia_pra_ott3635733"	"Teleostei"	"Chordata"	"ascending process of the premaxilla"	"uni"	"yes"	2013	"no"	"no"	"no"	0.35	27
"Martin 2013"	897	"Tilapia"	"Tilapia_pra_ott3635733"	"Teleostei"	"Chordata"	"body depth"	"uni"	"yes"	2013	"no"	"no"	"no"	0.18	27
"Martin 2013"	898	"Tilapia"	"Tilapia_pra_ott3635733"	"Teleostei"	"Chordata"	"jaw length"	"uni"	"yes"	2013	"no"	"no"	"no"	0.18	27
"Martin 2013"	899	"Tilapia"	"Tilapia_pra_ott3635733"	"Teleostei"	"Chordata"	"orbit diameter"	"uni"	"yes"	2013	"no"	"no"	"no"	0.04	27
"Marzluff and Balda 1988"	900	"Gymnorhinus cyanocephalus"	"Gymnorhinus_cyanocephalus_ott979211"	"Aves"	"Chordata"	"weight"	"uni"	"yes"	1988	"yes"	"no"	"yes"	0.14	57
"Marzluff and Balda 1988"	901	"Gymnorhinus cyanocephalus"	"Gymnorhinus_cyanocephalus_ott979211"	"Aves"	"Chordata"	"bill length"	"uni"	"yes"	1988	"yes"	"no"	"yes"	-0.15	59
"Mascie-Taylor 1987"	902	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1987	"yes"	"yes"	"no"	0.277	6192
"Mascie-Taylor 1987"	903	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"weight"	"uni"	"yes"	1987	"yes"	"yes"	"no"	0.109	6192
"Mason 1972"	904	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"prothorax width"	"uni"	"yes"	1972	"no"	"no"	"no"	0.045	27
"Mason 1972"	905	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"prothorax width"	"uni"	"yes"	1972	"no"	"no"	"no"	0.127	30
"Mason 1972"	906	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"prothorax width"	"uni"	"yes"	1972	"no"	"no"	"no"	-0.052	14
"Mason 1972"	907	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"prothorax width"	"uni"	"yes"	1972	"no"	"no"	"no"	-0.167	22
"Mason 1972"	908	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"prothorax width"	"uni"	"yes"	1972	"no"	"no"	"no"	-0.218	15
"Mason 1972"	909	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"prothorax width"	"uni"	"yes"	1972	"no"	"no"	"no"	0.117	37
"Mason 1972"	910	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"prothorax width"	"uni"	"yes"	1972	"no"	"no"	"no"	-0.005	14
"Mason 1972"	911	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"prothorax width"	"uni"	"yes"	1972	"no"	"no"	"no"	0.056	30
"Mason 1972"	912	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"prothorax width"	"uni"	"yes"	1972	"no"	"no"	"no"	0.054	32
"Mason 1972"	913	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"prothorax width"	"uni"	"yes"	1972	"no"	"no"	"no"	0.475	22
"Mason 1972"	914	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"prothorax width"	"uni"	"yes"	1972	"no"	"no"	"no"	0.316	20
"Masumoto 1999"	915	"Agelena limbata"	"Agelena_limbata_ott980314"	"Chelicerata"	"Arthropoda"	"cephalothorax width"	"uni"	"yes"	1999	"no"	"no"	"no"	0.685	20
"Masumoto 1999"	916	"Agelena limbata"	"Agelena_limbata_ott980314"	"Chelicerata"	"Arthropoda"	"cephalothorax width"	"uni"	"yes"	1999	"no"	"no"	"no"	0.558	17
"McCauley and Wade 1978"	917	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"weight"	"uni"	"yes"	1978	"no"	"no"	"no"	0.331	221
"McKaye 1986"	918	"Amatitlania nigrofasciata"	"Amatitlania_nigrofasciata_ott170115"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	1986	"yes"	"no"	"yes"	0.8	36
"McKaye 1986"	919	"Amphilophus citrinellus"	"Amphilophus_citrinellus_ott358037"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	1986	"yes"	"no"	"yes"	0.99	5
"McKaye 1986"	920	"Amphilophus citrinellus"	"Amphilophus_citrinellus_ott358037"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	1986	"yes"	"no"	"yes"	0.84	9
"McKaye 1986"	921	"Amphilophus citrinellus"	"Amphilophus_citrinellus_ott358037"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	1986	"yes"	"no"	"yes"	0.8	21
"McKaye 1986"	922	"Cribroheros longimanus"	"Krobia_sp_Smith2008_ott684090"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	1986	"yes"	"no"	"yes"	0.86	25
"McKaye 1986"	923	"Cribroheros rostratus"	"Krobia_sp_Xingu_ott687201"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	1986	"yes"	"no"	"yes"	0.89	27
"McKaye 1986"	924	"Hypsophrys nematopus"	"Hypsophrys_nematopus_ott416862"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	1986	"yes"	"no"	"yes"	0.68	14
"McKaye 1986"	925	"Hypsophrys nicaraguensis"	"Hypsophrys_nicaraguensis_ott221911"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	1986	"yes"	"no"	"yes"	0.82	24
"McKaye et al. 2010"	926	"Hypsophrys nematopus"	"Hypsophrys_nematopus_ott416862"	"Teleostei"	"Chordata"	"standard length"	"uni"	"yes"	2010	"yes"	"no"	"yes"	0.812	260
"McLain 1982"	927	"Epicauta pennsylvanica"	"Epicauta_pensylvanica_ott926635"	"Insecta"	"Arthropoda"	"weight"	"uni"	"yes"	1982	"no"	"no"	"no"	0.72	20
"McLain 1985"	928	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.111	25
"McLain 1985"	929	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.021	42
"McLain 1985"	930	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.443	36
"McLain 1985"	931	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.15	36
"McLain 1985"	932	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.188	44
"McLain 1985"	933	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.07	82
"McLain 1985"	934	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	-0.086	34
"McLain 1985"	935	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.194	30
"McLain 1985"	936	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.303	65
"McLain 1985"	937	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	-0.152	46
"McLain 1985"	938	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.075	65
"McLain 1985"	939	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	-0.228	54
"McLain 1985"	940	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.019	48
"McLain 1985"	941	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.119	39
"McLain 1985"	942	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.099	28
"McLain 1985"	943	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.189	18
"McLain 1985"	944	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.34	21
"McLain 1985"	945	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.227	24
"McLain 1985"	946	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.236	24
"McLain 1985"	947	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.104	21
"McLain 1985"	948	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.244	30
"McLain 1985"	949	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.047	38
"McLain 1985"	950	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.108	25
"McLain 1985"	951	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	-0.02	30
"McLain 1985"	952	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.08	22
"McLain 1985"	953	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1985	"no"	"no"	"no"	0.166	44
"McLain 1988"	954	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1988	"no"	"no"	"no"	0.018	476
"McLain 1988"	955	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1988	"no"	"no"	"no"	0.423	380
"McLain 1988"	956	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1988	"no"	"no"	"no"	0.211	537
"McLain and Boromisa 1987a"	957	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.6	5
"McLain and Boromisa 1987a"	958	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.4	5
"McLain and Boromisa 1987a"	959	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.26	7
"McLain and Boromisa 1987a"	960	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.94	5
"McLain and Boromisa 1987a"	961	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.03	8
"McLain and Boromisa 1987a"	962	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.21	10
"McLain and Boromisa 1987a"	963	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.2	7
"McLain and Boromisa 1987a"	964	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.37	7
"McLain and Boromisa 1987a"	965	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.76	11
"McLain and Boromisa 1987a"	966	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.17	13
"McLain and Boromisa 1987a"	967	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.37	7
"McLain and Boromisa 1987a"	968	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.37	7
"McLain and Boromisa 1987a"	969	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.32	6
"McLain and Boromisa 1987a"	970	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.38	5
"McLain and Boromisa 1987a"	971	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.63	10
"McLain and Boromisa 1987a"	972	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.01	22
"McLain and Boromisa 1987a"	973	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.05	18
"McLain and Boromisa 1987a"	974	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.25	14
"McLain and Boromisa 1987a"	975	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.06	8
"McLain and Boromisa 1987a"	976	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.68	4
"McLain and Boromisa 1987a"	977	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.35	12
"McLain and Boromisa 1987a"	978	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.01	4
"McLain and Boromisa 1987a"	979	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.06	9
"McLain and Boromisa 1987a"	980	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.19	25
"McLain and Boromisa 1987a"	981	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.37	45
"McLain and Boromisa 1987a"	982	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.46	25
"McLain and Boromisa 1987a"	983	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.3	46
"McLain and Boromisa 1987a"	984	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.79	35
"McLain and Boromisa 1987a"	985	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.5	20
"McLain and Boromisa 1987a"	986	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.74	24
"McLain and Boromisa 1987a"	987	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.77	8
"McLain and Boromisa 1987a"	988	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.61	19
"McLain and Boromisa 1987a"	989	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.79	14
"McLain and Boromisa 1987a"	990	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.51	25
"McLain and Boromisa 1987a"	991	"Tetraopes tetrophthalmus"	"Tetraopes_tetrophthalmus_ott1016808"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	1987	"no"	"no"	"no"	0.83	20
"McLain and Boromisa 1987b"	992	"Phymata wolff"	"Phymata_salicis_ott3475649"	"Insecta"	"Arthropoda"	"weight"	"uni"	"yes"	1987	"no"	"no"	"no"	0.1	17
"McLain and Boromisa 1987b"	993	"Phymata wolff"	"Phymata_salicis_ott3475649"	"Insecta"	"Arthropoda"	"pronotal width"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.52	13
"McLain and Boromisa 1987b"	994	"Phymata wolff"	"Phymata_salicis_ott3475649"	"Insecta"	"Arthropoda"	"weight"	"uni"	"yes"	1987	"no"	"no"	"no"	0.1	13
"McLain and Boromisa 1987b"	995	"Phymata wolff"	"Phymata_salicis_ott3475649"	"Insecta"	"Arthropoda"	"pronotal width"	"uni"	"yes"	1987	"no"	"no"	"no"	-0.14	17
"McLain and Shure 1987"	996	"Neacoryphus bicrucis"	"Neacoryphus_bicrucis_ott3470406"	"Insecta"	"Arthropoda"	"body length"	"uni"	"yes"	1987	"yes"	"no"	"yes"	0.499	424
"McLain et al. 2015"	997	"Chauliognathus pennsylvanicus"	"Chauliognathus_pennsylvanicus_ott536547"	"Insecta"	"Arthropoda"	"elytron length"	"uni"	"yes"	2015	"yes"	"no"	"yes"	0.669	421
"McManus and Mascie-Taylor 1984"	998	"Homo sapiens"	"Homo_sapiens_ott770315"	"Mammalia"	"Chordata"	"body height"	"uni"	"yes"	1984	"yes"	"yes"	"no"	0.258	12503
"Merila and Fry 1998"	999	"Cyanistes caeruleus"	"Cyanistes_caeruleus_caeruleus_ott744585"	"Aves"	"Chordata"	"tarsus length"	"uni"	"yes"	1998	"no"	"no"	"no"	-0.01	55
"Merila and Fry 1998"	1000	"Cyanistes caeruleus"	"Cyanistes_caeruleus_caeruleus_ott744585"	"Aves"	"Chordata"	"tarsus length"	"uni"	"yes"	1998	"no"	"no"	"no"	-0.14	30
"Merila and Fry 1998"	1001	"Cyanistes caeruleus"	"Cyanistes_caeruleus_caeruleus_ott744585"	"Aves"	"Chordata"	"tarsus length"	"uni"	"yes"	1998	"no"	"no"	"no"	0.1	45
"Merila and Gustafsson 1993"	1002	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"wing length"	"uni"	"yes"	1993	"yes"	"yes"	"yes"	0.144	680
"Merila and Gustafsson 1993"	1003	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"tarsus length"	"uni"	"yes"	1993	"yes"	"yes"	"yes"	0.083	691
"Merila and Gustafsson 1993"	1004	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"first primary length"	"uni"	"yes"	1993	"yes"	"yes"	"yes"	0.069	585
"Merila and Gustafsson 1993"	1005	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"bill width"	"uni"	"yes"	1993	"yes"	"yes"	"yes"	0.067	300
"Merila and Gustafsson 1993"	1006	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"bill length"	"uni"	"yes"	1993	"yes"	"yes"	"yes"	0.051	681
"Merila and Gustafsson 1993"	1007	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"tail length"	"uni"	"yes"	1993	"yes"	"yes"	"yes"	0.038	611
"Merila and Gustafsson 1993"	1008	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"bill depth"	"uni"	"yes"	1993	"yes"	"yes"	"yes"	0.015	298
"Merila and Sheldon 2000"	1009	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"wing length"	"uni"	"yes"	2000	"yes"	"no"	"yes"	0.216	3209
"Merila and Sheldon 2000"	1010	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"bill length"	"uni"	"yes"	2000	"yes"	"no"	"yes"	0.134	2691
"Merila and Sheldon 2000"	1011	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"first primary length"	"uni"	"yes"	2000	"yes"	"no"	"yes"	0.129	2713
"Merila and Sheldon 2000"	1012	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"tail length"	"uni"	"yes"	2000	"yes"	"no"	"yes"	0.056	2791
"Merila and Sheldon 2000"	1013	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"bill depth"	"uni"	"yes"	2000	"yes"	"no"	"yes"	0.054	1710
"Merila and Sheldon 2000"	1014	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"tarsus length"	"uni"	"yes"	2000	"yes"	"no"	"yes"	0.05	3139
"Merila and Sheldon 2000"	1015	"Ficedula albicollis"	"Ficedula_albicollis_ott107840"	"Aves"	"Chordata"	"bill width"	"uni"	"yes"	2000	"yes"	"no"	"yes"	0.018	2709
"Michiels and Streng 1998"	1016	"Schmidtea polychroa"	"Dugesia_sp_06_MR-2009_ott859610"	"Platyhelminthes"	"Lophotrochozoa"	"body length"	"uni"	"yes"	1998	"no"	"no"	"no"	0.32	111
"Michiels et al. 2001"	1017	"Lumbricus terrestris"	"Lumbricus_terrestris_ott316441"	"Annelida"	"Lophotrochozoa"	"weight"	"uni"	"yes"	2001	"no"	"no"	"no"	0.18	90
